100.0,63.0,103.0,155.0,41.0,-1.4,3.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,0.6,2.1,-1.6,open
100.0,63.0,104.0,155.0,41.0,-2.4,4.1,0.4,open
100.0,63.0,104.0,155.0,41.0,-1.4,4.1,-0.6,open
100.0,63.0,103.0,155.0,40.0,-0.4,2.1,-1.6,open
100.0,63.0,104.0,155.0,40.0,-1.4,2.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,-3.4,4.1,2.4,open
100.0,63.0,104.0,155.0,41.0,-0.4,4.1,0.4,open
100.0,63.0,103.0,155.0,40.0,-0.4,6.1,1.4,open
100.0,63.0,104.0,153.0,41.0,1.6,4.1,-2.6,open
100.0,63.0,103.0,155.0,41.0,3.6,4.1,-3.6,open
100.0,63.0,104.0,155.0,41.0,1.6,4.1,-3.6,open
100.0,63.0,104.0,155.0,41.0,2.6,5.1,-2.6,open
100.0,63.0,104.0,155.0,40.0,0.6,5.1,-1.6,open
100.0,63.0,104.0,156.0,40.0,-0.4,4.1,0.4,open
100.0,63.0,104.0,155.0,41.0,-2.4,4.1,1.4,open
97.0,63.0,104.0,153.0,40.0,-0.4,4.1,1.4,open
100.0,62.0,104.0,155.0,41.0,0.6,4.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,0.6,3.1,-2.6,open
100.0,63.0,104.0,155.0,41.0,0.6,4.1,-3.6,open
100.0,63.0,103.0,154.0,41.0,-0.4,4.1,-1.6,open
100.0,63.0,104.0,155.0,40.0,-0.4,4.1,-1.6,open
100.0,63.0,103.0,155.0,40.0,0.6,4.1,-0.6,open
100.0,63.0,103.0,155.0,40.0,0.6,4.1,0.4,open
100.0,63.0,104.0,155.0,40.0,1.6,4.1,0.4,open
99.0,62.0,104.0,155.0,40.0,-1.4,5.1,-1.6,open
100.0,61.0,103.0,155.0,40.0,-1.4,4.1,-2.6,open
100.0,63.0,103.0,155.0,40.0,-0.4,4.1,-1.6,open
100.0,63.0,103.0,154.0,40.0,1.6,4.1,-2.6,open
100.0,63.0,103.0,155.0,41.0,2.6,4.1,-1.6,open
100.0,62.0,104.0,155.0,41.0,2.6,3.1,-1.6,open
99.0,63.0,104.0,155.0,41.0,1.6,4.1,-0.6,open
100.0,62.0,103.0,155.0,41.0,1.6,4.1,0.4,open
100.0,63.0,103.0,154.0,41.0,-0.4,3.1,1.4,open
100.0,63.0,104.0,155.0,40.0,-1.4,3.1,1.4,open
99.0,63.0,104.0,155.0,40.0,-0.4,3.1,0.4,open
100.0,62.0,103.0,156.0,40.0,2.6,3.1,-0.6,open
100.0,63.0,104.0,154.0,41.0,0.6,5.1,-1.6,open
100.0,63.0,104.0,154.0,40.0,0.6,3.1,-2.6,open
100.0,63.0,103.0,155.0,41.0,1.6,4.1,-0.6,open
100.0,62.0,103.0,155.0,41.0,-0.4,4.1,0.4,open
100.0,63.0,104.0,155.0,40.0,-0.4,7.1,4.4,open
100.0,63.0,103.0,155.0,41.0,-3.4,4.1,3.4,open
100.0,63.0,104.0,155.0,40.0,-6.4,2.1,2.4,open
100.0,63.0,103.0,155.0,41.0,1.6,3.1,6.4,open
100.0,63.0,104.0,155.0,40.0,-2.4,3.1,11.4,open
100.0,63.0,103.0,154.0,40.0,-1.4,6.1,12.4,open
99.0,63.0,103.0,155.0,40.0,-3.4,11.1,13.4,open
100.0,62.0,104.0,155.0,40.0,-2.4,7.1,10.4,open
